Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.500000,30.642857,30.340000,30.572857,29.149054,123432050
2010-01-05,30.684284,30.798571,30.464285,30.625713,29.199459,150476004
2010-01-06,30.625713,30.747143,30.107141,30.138571,28.734999,138039594
2010-01-07,30.240000,30.285713,29.864285,30.082857,28.681877,119282324
2010-01-08,30.057142,30.285713,29.865713,30.282858,28.872566,111969081
2010-01-11,30.424286,30.428572,29.778570,30.015715,28.617859,115557365
2010-01-12,29.902857,29.967142,29.488571,29.674286,28.292328,148614774
2010-01-13,29.731428,30.132856,29.157143,30.092857,28.691412,151472335
2010-01-14,30.005714,30.065714,29.860001,29.918571,28.525240,108288411
2010-01-15,30.200001,30.228571,29.410000,29.418571,28.048529,148584065
2010-01-19,29.770000,30.741428,29.605715,30.719999,29.289349,182501620
2010-01-20,30.701427,30.792856,29.928572,30.246428,28.837831,153037892
2010-01-21,30.327143,30.473400,29.601427,29.724571,28.340275,152038565
2010-01-22,29.540001,29.642857,28.165714,28.250000,26.934374,220441872
2010-01-25,28.975714,29.242857,28.598572,29.010714,27.659664,266424802
2010-01-26,29.408571,30.530001,28.940001,29.420000,28.049889,466777486
2010-01-27,29.544285,30.082857,28.504429,29.697714,28.314667,430642030
2010-01-28,29.331429,29.357141,28.385714,28.469999,27.144129,293375376
2010-01-29,28.761429,28.885714,27.178572,27.437571,26.159782,311487785
2010-02-01,27.511429,28.000000,27.328571,27.818571,26.523043,187468421
2010-02-02,27.990000,28.045713,27.625713,27.980000,26.676950,174585313
2010-02-03,27.894285,28.600000,27.774284,28.461428,27.135958,153831769
2010-02-04,28.121428,28.338572,27.367142,27.435715,26.158014,189412762
2010-02-05,27.528570,28.000000,27.264284,27.922857,26.622467,212576350
2010-02-08,27.954285,28.268572,27.714285,27.731428,26.439951,119567119
2010-02-09,28.065714,28.214285,27.821428,28.027142,26.721897,158221028
2010-02-10,27.974285,28.085714,27.751429,27.873714,26.575617,92590218
2010-02-11,27.827143,28.535713,27.722857,28.381428,27.059679,137585903
2010-02-12,28.309999,28.805714,27.928572,28.625713,27.292591,163866906
2010-02-16,28.884285,29.098572,28.788570,29.057142,27.703930,135987761
2010-02-17,29.178572,29.187141,28.694284,28.935715,27.588156,109098710
2010-02-18,28.804285,29.127142,28.702856,28.989714,27.639639,105706111
2010-02-19,28.835714,29.028570,28.730000,28.809999,27.468296,103933466
2010-02-22,28.920000,28.928572,28.455713,28.630857,27.297497,97706168
2010-02-23,28.558571,28.761429,27.958570,28.151285,26.840261,143828223
2010-02-24,28.357141,28.777142,28.262857,28.665142,27.330187,115141376
2010-02-25,28.197142,28.980000,28.127142,28.857141,27.513239,166349071
2010-02-26,28.921429,29.309999,28.857141,29.231428,27.870092,126865060
2010-03-01,29.392857,29.928572,29.350000,29.855715,28.465309,137523183
2010-03-02,29.995714,30.118570,29.677141,29.835714,28.446238,141636152
